a init	a final	z init	z final		M_1 [sun]	M_2 [sun]	f_mass
0.14	0.16	6.14	5.25		0.32999E+09	0.16742E+09	0.5073
0.16	0.18	5.25	4.56		0.15824E+10	0.16553E+09	0.1046
0.18	0.19	4.56	4.26		0.39880E+10	0.74066E+09	0.1857
0.21	0.22	3.76	3.55		0.59707E+10	0.41754E+09	0.0699
0.21	0.23	3.76	3.35		0.59707E+10	0.78605E+09	0.1317
0.21	0.23	3.76	3.35		0.59707E+10	0.67939E+09	0.1138
0.3		0.32	2.33	2.13		0.15275E+11	0.34704E+10	0.2272
0.3		0.33	2.33	2.03		0.15275E+11	0.17070E+10	0.1117
0.37	0.38	1.70	1.63		0.30269E+11	0.12797E+10	0.0423
0.33	0.38	2.03	1.63		0.23125E+11	0.85643E+09	0.037
0.38	0.4		1.63	1.50		0.34027E+11	0.22476E+10	0.0661
0.4		0.43	1.50	1.33		0.40490E+11	0.20795E+10	0.0514
0.411	0.441	1.43	1.27		0.44853E+11	0.52545E+10	0.1172
0.4		0.45	1.50	1.22		0.40490E+11	0.16493E+10	0.0407
0.49	0.52	1.04	0.92		0.61139E+11	0.24928E+10	0.0408
